Interface,Name,Status,Speed,Duplex,VLAN
TenGigabitEthernet1/1/1,Core Uplink,connected,a-1000,full,routed
TenGigabitEthernet1/1/2,SWITCH01 Uplink,connected,a-1000,full,trunk
TenGigabitEthernet1/1/3,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/4,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/5,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/6,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/7,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/8,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/9,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/10,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/11,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/12,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/13,Unused,disabled,auto,full,99
TenGigabitEthernet1/1/14,DAD,connected,a-1000,full,1
TenGigabitEthernet1/1/15,VSL,connected,a-10G,full,trunk
TenGigabitEthernet1/1/16,VSL,connected,a-10G,full,trunk
TenGigabitEthernet2/1/1,Core Uplink,connected,a-1000,full,routed
TenGigabitEthernet2/1/2,SWITCH01 Uplink,suspended,a-1000,full,trunk
TenGigabitEthernet2/1/3,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/4,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/5,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/6,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/7,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/8,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/9,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/10,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/11,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/12,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/13,Unused,disabled,auto,full,99
TenGigabitEthernet2/1/14,DAD,connected,a-1000,full,1
TenGigabitEthernet2/1/15,VSL,connected,a-10G,full,trunk
TenGigabitEthernet2/1/16,VSL,connected,a-10G,full,trunk
Port-channel1,Core Uplink,connected,a-1000,a-full,routed
Port-channel2,SWITCH01 Uplink,notconnect,auto,auto,trunk
Port-channel50,VSL,connected,a-10G,a-full,trunk
Port-channel60,VSL,connected,a-10G,a-full,trunk
